what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1379990439888
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1379990439906
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1379990439938
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1379990439964
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1379990439980
os,sysinfo,,,"win32",1379990439986
arch,sysinfo,,,"x86",1379990439986
ws,sysinfo,,,"win32",1379990439986
locale,sysinfo,,,"en_US",1379990439986
processors,sysinfo,,,"4",1379990439986
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379990439986
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1379990439986
java.specification.name,sysinfo,,,"Java Platform API Specification",1379990439986
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379990439986
java.specification.version,sysinfo,,,"1.7",1379990439986
java.vendor,sysinfo,,,"Oracle Corporation",1379990439986
java.version,sysinfo,,,"1.7.0_03",1379990439986
java.vm.info,sysinfo,,,"mixed mode, sharing",1379990439986
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1379990439986
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379990439986
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379990439986
java.vm.specification.version,sysinfo,,,"1.7",1379990439986
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379990439986
java.vm.version,sysinfo,,,"22.1-b02",1379990439986
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1379990440232
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1379990440256
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1379990440326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990464690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990466080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990479153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990481364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990520674
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379990529807
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1379990530620
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1379990530621
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1379990530623
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1379990530625
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1379990530626
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1379990530628
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1379990530629
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1379990530630
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1379990530631
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1379990530633
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1379990530635
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1379990530636
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1379990530638
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1379990530639
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1379990530641
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1379990530642
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1379990530643
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1379990530644
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1379990530645
